date,A733_000,A733_001,A733_002,A733_003,A733_004,A733_005,A733_006
2015-01-30,37.61395472,36.58395962,38.91662872,48.87961681,46.62568788,43.37941735,59.58986304
2015-01-31,38.05192475,36.6205269,39.16773334,48.431203,46.68921229,43.86299888,59.49703567
2015-02-01,37.45292537,36.67484898,37.7002314,48.26462307,48.45041174,43.8346883,58.43680761
2015-02-02,37.98272919,36.44608327,37.51456938,49.9242589,48.05220246,42.52954272,58.27355665
2015-02-03,37.96613913,36.20495155,38.06813188,49.17073344,49.23632687,41.29554863,57.21849667
2015-02-04,38.46672231,36.41235244,38.07434939,48.75149701,50.48099804,41.46219941,58.23384281
2015-02-05,38.48269262,36.09989433,37.09928879,49.85223004,,41.51570089,58.67696008
2015-02-06,39.34456175,36.1030989,38.18862264,50.28765108,49.23567449,,58.91578801
2015-02-07,39.67226623,36.36448751,37.84073721,49.72105497,49.92384629,41.21608109,58.78710704
2015-02-08,40.44171858,36.47633017,37.49510845,50.09675978,48.17840328,41.54947174,58.76719474
2015-02-09,40.52429473,36.64650953,36.46372921,50.0622383,47.86118158,41.09843067,59.10957735
2015-02-10,40.65019346,36.35763424,36.70998101,50.86976529,47.11457944,41.18787748,60.41984976
2015-02-11,40.67484641,36.01822096,37.11810759,,,,60.1204994
2015-02-12,40.20997973,35.58065675,37.20772503,48.99377633,47.05234915,40.77964185,60.38338345
2015-02-13,40.52738406,35.53055749,37.16528871,49.18863103,47.74816711,40.17947378,60.25099294
2015-02-14,40.92879583,35.81757899,37.7680169,48.60819249,48.59116163,39.57491314,61.05783846
2015-02-15,42.03301439,35.05353052,38.04143867,49.2246778,49.81321487,38.50848222,61.13027803
2015-02-16,41.18902559,34.82431907,38.88410333,50.1999768,50.47994518,38.96711997,61.01617895
2015-02-17,41.14914267,,,50.1089172,50.24421695,38.31059091,61.1951294
2015-02-18,41.33704832,35.05231415,38.52281578,49.93114111,50.73820313,38.03754979,61.44496069
2015-02-19,41.74317004,34.47211428,38.3887965,50.12710953,51.8293297,38.86994096,61.07336263
2015-02-20,41.77667945,34.30469218,38.06768027,,53.1645889,38.51355635,60.83799623
2015-02-21,41.09046518,35.02619991,38.60337753,47.80286021,54.37936572,38.99473624,61.01414214
2015-02-22,40.019147,34.74492864,38.23865619,48.09881613,56.39857045,39.02901647,61.93273953
2015-02-23,39.89944459,35.14292975,38.19659237,47.84662268,56.11554474,39.55303827,62.08559568
2015-02-24,39.70455317,34.75336241,37.9738807,47.97442354,55.97929942,39.5789537,61.20155561
2015-02-25,,33.66140735,37.19865941,47.37671539,55.63082218,40.0216047,61.11107498
2015-02-26,40.56562656,34.06481252,36.94318044,47.52697832,55.66981337,39.21449131,61.12344356
2015-02-27,40.18944507,33.89116894,36.78331175,46.91209209,54.57688835,39.05027095,61.93584039
2015-02-28,40.40313521,33.94911478,36.99061455,47.62446222,54.35496508,39.16799332,61.93337373
2015-03-01,41.63291861,34.52262053,37.18023507,47.95132982,54.03429263,39.4707858,62.50261901
2015-03-02,41.00866064,34.16665721,36.58126575,47.93590813,52.78963442,39.74856359,62.17614806
2015-03-03,40.9803907,34.03455978,36.50146851,47.09658772,53.44627928,39.68306108,60.48956722
2015-03-04,,34.33148577,36.13810998,46.97963221,53.35522119,38.9870131,60.50443787
2015-03-05,40.4755628,34.51608496,35.45796052,47.34962086,54.2119179,39.91943075,
2015-03-06,39.7529471,34.15522753,34.52798466,47.13678753,56.13522067,41.11290811,59.62272278
2015-03-07,40.16596404,34.55894149,33.93125061,46.00990789,55.61862095,40.79758131,59.3804839
2015-03-08,39.91945206,34.15942815,34.23907875,45.72220032,57.21895665,40.630147,58.84188012
2015-03-09,39.29968459,34.11938842,34.8048671,46.30327724,57.34697003,41.3699974,57.90796588
2015-03-10,38.8698327,33.1041913,34.29983618,46.19354362,,41.61864614,57.93073042
2015-03-11,39.36123184,33.22569987,,,58.77573397,41.44483041,58.03161729
2015-03-12,40.1225108,33.14940328,,45.49886082,57.95442056,40.76761658,59.23514884
2015-03-13,40.00825295,33.14231878,33.84236875,46.12072546,58.31015527,41.1568701,57.99593245
2015-03-14,41.01815857,33.34402923,34.7720772,44.96143327,57.2981798,40.77112777,58.63561655
2015-03-15,41.06410824,33.67145593,34.11595714,44.81222495,56.52929596,40.75880716,58.56441599
2015-03-16,41.47595875,33.48488108,,44.18285923,56.60863656,40.31355621,57.3637214
2015-03-17,41.44473247,,34.21718093,43.46941377,57.59248273,39.70067698,57.79168348
2015-03-18,40.53866851,33.49975906,34.98259264,44.59038019,58.6299295,40.64466539,58.89970609
2015-03-19,41.20053467,32.75110034,34.94053969,44.77300801,59.69558677,40.74932293,57.79627898
2015-03-20,40.43029384,33.2087082,34.45403355,44.81770802,58.26984325,39.6319879,57.84273916
2015-03-21,40.84798192,33.50818814,35.26018868,44.50630504,56.79917321,39.25431698,57.30423004
2015-03-22,40.76729633,33.03015785,34.65405154,43.95500639,58.02938892,39.01308844,59.38206643
2015-03-23,40.46294525,33.00620394,,43.11382989,56.86480207,,57.21927548
2015-03-24,,33.25115369,34.88573275,42.33350605,56.13383199,39.08911695,56.96257746
2015-03-25,39.66785178,33.13477915,,41.51236651,55.61348633,39.86515155,57.31529113
2015-03-26,40.11942199,33.00371734,35.52392743,40.73322829,58.60695179,39.66172406,55.97112134
2015-03-27,40.75460215,33.9432064,35.85961913,40.79104956,58.03218806,39.47822409,55.95044452
2015-03-28,40.5912993,34.26814153,34.78643884,41.05910301,,39.48440301,56.70405709
2015-03-29,40.8510791,33.9121363,33.11605531,41.38208417,57.97061067,39.74220554,55.627771
2015-03-30,40.45640786,34.01545357,33.90202085,41.75063944,,40.81565083,54.47733017
2015-03-31,41.47452761,,34.36714316,40.63563589,58.98865743,39.83544291,54.8243555
2015-04-01,41.84759691,33.21292171,34.73132937,42.17184344,,39.67239264,55.63115708
2015-04-02,42.14965412,,34.71710382,42.6687996,59.0482316,40.17743619,55.9592555
2015-04-03,42.31755383,32.92163569,35.01817593,42.72561026,59.70035299,40.24012882,55.22524384
2015-04-04,42.41823322,32.66791071,34.4130974,42.35674466,59.31362636,39.48364082,56.52111201
2015-04-05,,31.71254385,34.05012686,41.75205104,60.62240702,40.13362943,56.30933278
2015-04-06,41.60408987,31.15915653,33.70961429,41.55118937,60.72146439,39.66489645,55.98455862
2015-04-07,42.12069228,30.6954561,33.73245085,41.08098672,60.01174665,40.57898452,55.31160147
2015-04-08,42.48254379,30.90192225,33.44833025,41.26276185,61.40503153,40.88207422,55.6289748
2015-04-09,41.20067498,31.90460874,32.29172357,41.10036999,60.3369074,42.0277684,55.94000743
2015-04-10,40.97090258,31.44029753,32.5844058,40.61625247,61.02773945,41.90337892,54.91802693
2015-04-11,41.55373232,31.33420852,,40.30469539,62.75306103,42.42801856,54.6354009
2015-04-12,41.95027672,31.21289542,32.19690749,41.09267496,63.45217725,42.43764685,54.105509
2015-04-13,42.21616837,30.21459716,31.24444545,40.56333838,62.41881873,41.91940531,53.60171244
2015-04-14,42.00575018,30.70580804,31.11209277,39.30835097,62.32303623,40.72761923,52.99363337
2015-04-15,42.12810042,30.951694,31.60108676,,64.02928776,41.14137404,53.33493347
2015-04-16,41.89990851,31.00786691,31.37061679,39.22485611,63.34356236,41.4315445,53.48181168
2015-04-17,41.29979326,30.39840626,,39.57022532,61.83506971,42.01831367,
2015-04-18,41.03273033,30.50038046,30.53263983,40.26043282,61.50331292,42.56671613,
2015-04-19,41.03444263,30.97924665,31.03417992,40.92848901,62.9416071,42.41112296,54.06240647
2015-04-20,,30.69689434,30.77374551,40.46397168,62.49373691,41.53479919,55.9524103
2015-04-21,40.89621939,30.91468949,30.26928862,41.00500334,62.34549127,40.65770419,55.95999754
2015-04-22,40.75654441,31.2123143,30.55663708,39.58311644,61.7607671,40.43125482,57.6011737
2015-04-23,41.32807712,31.32904521,30.84225373,40.22245407,62.26345663,40.38488226,58.34882051
2015-04-24,40.4094655,30.92426729,30.39949904,40.99365436,61.23125862,39.67771397,57.65458374
2015-04-25,40.30949803,30.13856129,30.77382426,40.75789315,63.59222199,40.61193096,56.16250733
2015-04-26,40.12694937,30.50635628,31.07588304,40.6634497,63.75158251,41.40809455,55.7805405
2015-04-27,39.07385459,30.12378465,31.65124122,39.20964858,64.67776463,41.44073771,55.78595079
2015-04-28,39.50766315,29.9031499,30.82635268,38.84099824,62.12993808,42.15693005,55.81842537
2015-04-29,39.45540792,29.77815684,31.59770415,38.60732991,63.60891436,41.96116125,56.11478932
2015-04-30,39.93377947,29.35248729,31.04503743,37.68482998,62.91825728,42.16615824,
2015-05-01,39.37573946,28.9727146,30.67501904,37.5625296,63.03241806,42.67325746,57.07376596
2015-05-02,40.2170979,29.46836756,30.49278688,36.8383106,61.18165514,42.24208763,57.68710384
2015-05-03,39.86716434,28.68822173,30.24237391,36.78938103,61.51586555,42.03827849,57.26495992
2015-05-04,39.97110089,28.50327293,31.06122365,36.68941209,62.19672913,42.27475332,56.82438704
2015-05-05,40.45896107,27.92431417,30.55660335,37.71474997,62.27113607,42.49398749,56.38644971
2015-05-06,41.23490303,27.65131502,30.8462487,38.36723176,61.72568196,42.74217471,56.60124786
2015-05-07,40.90067787,27.09996852,31.27726081,37.45489355,61.61592511,,57.05098351
2015-05-08,41.90435828,27.13817797,31.46833258,37.70834968,61.17799086,42.08956147,56.86699715
2015-05-09,41.71286958,26.99377983,31.39985658,36.61619774,63.36669366,41.94123081,57.58246692
2015-05-10,41.09714292,,31.49572807,36.84241032,65.12030581,42.20082115,56.59564259
2015-05-11,41.38810611,26.64742963,30.81949296,36.06872573,65.89262293,41.04510915,57.21005244
2015-05-12,41.58635224,26.63016591,,35.81088053,65.18397679,41.48163597,57.95024134
2015-05-13,41.67896519,26.6593309,30.64295445,35.83957996,64.68288181,42.97057642,58.12864285
2015-05-14,,26.74789655,30.92128849,36.23808573,63.29117598,42.85013598,58.09023457
2015-05-15,41.37836172,,31.41753153,34.1919661,60.20136885,41.91926918,58.11941237
2015-05-16,40.69874907,26.40993977,31.58475348,33.04458905,61.48077858,43.02240757,58.02466197
2015-05-17,40.15548066,26.15315489,31.49314723,32.90049543,62.70996856,43.44883801,56.78562053
2015-05-18,,25.93848149,31.04733527,32.74731466,63.93660997,43.09776927,57.73973815
2015-05-19,39.83481626,25.96498551,30.92574947,,62.65016787,43.10885971,59.33615858
2015-05-20,39.04563138,26.20748965,,33.24321673,61.51999525,43.43134643,59.72176346
